symbol,name,sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,IT
HDFCBANK.NS,HDFC Bank,Banking
INFY.NS,Infosys,IT
ICICIBANK.NS,ICICI Bank,Banking
HINDUNILVR.NS,Hindustan Unilever,FMCG
SBIN.NS,State Bank of India,Banking
BHARTIARTL.NS,Bharti Airtel,Telecom
KOTAKBANK.NS,Kotak Mahindra Bank,Banking
ITC.NS,ITC Limited,FMCG
LT.NS,Larsen & Toubro,Infrastructure
AXISBANK.NS,Axis Bank,Banking
ASIANPAINT.NS,Asian Paints,Consumer
MARUTI.NS,Maruti Suzuki,Auto
WIPRO.NS,Wipro,IT
ULTRACEMCO.NS,UltraTech Cement,Cement
TITAN.NS,Titan Company,Consumer
SUNPHARMA.NS,Sun Pharmaceutical,Pharma
BAJFINANCE.NS,Bajaj Finance,NBFC
HCLTECH.NS,HCL Technologies,IT
NESTLEIND.NS,Nestle India,FMCG
TECHM.NS,Tech Mahindra,IT
TATASTEEL.NS,Tata Steel,Metals
POWERGRID.NS,Power Grid Corporation,Utilities
NTPC.NS,NTPC,Utilities
ONGC.NS,Oil and Natural Gas Corp,Energy
BAJAJFINSV.NS,Bajaj Finserv,NBFC
JSWSTEEL.NS,JSW Steel,Metals
GRASIM.NS,Grasim Industries,Diversified
DIVISLAB.NS,Divi's Laboratories,Pharma
DRREDDY.NS,Dr Reddy's Laboratories,Pharma
CIPLA.NS,Cipla,Pharma
TATACONSUM.NS,Tata Consumer Products,FMCG
TATAMOTORS.NS,Tata Motors,Auto
M&M.NS,Mahindra & Mahindra,Auto
ADANIENT.NS,Adani Enterprises,Diversified
ADANIPORTS.NS,Adani Ports,Logistics
COALINDIA.NS,Coal India,Mining
BRITANNIA.NS,Britannia Industries,FMCG
EICHERMOT.NS,Eicher Motors,Auto
BPCL.NS,Bharat Petroleum,Energy
HEROMOTOCO.NS,Hero MotoCorp,Auto
APOLLOHOSP.NS,Apollo Hospitals,Healthcare
BAJAJ-AUTO.NS,Bajaj Auto,Auto
INDUSINDBK.NS,IndusInd Bank,Banking
HINDALCO.NS,Hindalco Industries,Metals
TATAPOWER.NS,Tata Power,Utilities
VEDL.NS,Vedanta,Metals
SHREECEM.NS,Shree Cement,Cement
PIDILITIND.NS,Pidilite Industries,Chemicals
HAVELLS.NS,Havells India,Consumer Electricals
BERGEPAINT.NS,Berger Paints,Consumer
MCDOWELL-N.NS,United Spirits,FMCG
COLPAL.NS,Colgate-Palmolive,FMCG
MARICO.NS,Marico,FMCG
DABUR.NS,Dabur India,FMCG
GODREJCP.NS,Godrej Consumer Products,FMCG
SIEMENS.NS,Siemens,Capital Goods
ABB.NS,ABB India,Capital Goods
BOSCHLTD.NS,Bosch,Auto Ancillary
