date,symbol,gap_pct,direction,entry_price,sl_price,target_price,outcome,exit_price,pnl_pct,pnl_rs,exit_time,candle_idx,month,gap_bucket
2023-06-01,ABB,-3.84,LONG,4131.05,4110.39,4172.36,LOSS,4110.39,-0.5,-495.73,2023-06-01 09:15:00+05:30,0,2023-06,3-5%
2024-01-23,ABB,-1.44,LONG,4750.95,4727.2,4798.46,WIN,4798.46,1.0,997.7,2024-01-23 09:15:00+05:30,0,2024-01,1-2%
2024-02-02,ABB,1.08,SHORT,4594.95,4617.92,4549.0,WIN,4549.0,1.0,964.94,2024-02-02 09:15:00+05:30,0,2024-02,1-2%
2024-02-21,ABB,3.2,SHORT,4670.7,4694.05,4623.99,LOSS,4694.05,-0.5,-490.42,2024-02-21 09:15:00+05:30,0,2024-02,3-5%
2024-02-22,ABB,3.83,SHORT,5201.4,5227.41,5149.39,LOSS,5227.41,-0.5,-494.13,2024-02-22 09:15:00+05:30,0,2024-02,3-5%
2024-03-20,ABB,1.07,SHORT,5688.6,5717.04,5631.71,WIN,5631.71,1.0,967.06,2024-03-20 09:15:00+05:30,0,2024-03,1-2%
2024-03-26,ABB,-1.45,LONG,5881.05,5851.64,5939.86,WIN,5939.86,1.0,999.78,2024-03-26 09:15:00+05:30,0,2024-03,1-2%
2024-03-27,ABB,4.14,SHORT,6175.45,6206.33,6113.7,LOSS,6206.33,-0.5,-494.04,2024-03-27 09:15:00+05:30,0,2024-03,3-5%
2024-04-04,ABB,1.14,SHORT,6577.95,6610.84,6512.17,LOSS,6610.84,-0.5,-493.35,2024-04-04 09:15:00+05:30,0,2024-04,1-2%
2024-04-15,ABB,-1.23,LONG,6670.0,6636.65,6736.7,LOSS,6636.65,-0.5,-466.9,2024-04-15 09:15:00+05:30,0,2024-04,1-2%
2024-04-24,ABB,1.05,SHORT,6366.2,6398.03,6302.54,FLAT,6349.65,0.26,248.25,2024-04-24 15:15:00+05:30,6,2024-04,1-2%
2024-05-13,ABB,4.2,SHORT,7506.8,7544.33,7431.73,LOSS,7544.33,-0.5,-487.94,2024-05-13 09:15:00+05:30,0,2024-05,3-5%
2024-06-03,ABB,2.55,SHORT,8500.5,8543.0,8415.5,WIN,8415.5,1.0,935.05,2024-06-03 09:15:00+05:30,0,2024-06,2-3%
2024-06-05,ABB,2.48,SHORT,7849.85,7889.1,7771.35,WIN,7771.35,1.0,941.98,2024-06-05 09:15:00+05:30,0,2024-06,2-3%
